입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
LDH0511,1,(일장) 교량가설단정 브러시 등 33종 구매,물품,총액계약,제한경쟁,적격심사제,Y,육군종합정비창,ZD00347,육군종합정비창,ZD00347,87.995,37950559,37822000,35071674,2025-06-11,13:00,개찰완료,37000000,97.495,2025-06-11,진광사,최진욱,최진욱,615-16-41032,경상남도 김해시 진영읍 진영리1611-3 중흥s클래스 119-105
LDH0512,1,(정비) 솔더윅 등 85종 구매,물품,총액계약,제한경쟁,적격심사제,Y,육군종합정비창,ZD00347,육군종합정비창,ZD00347,87.995,,20511000,19019600,2025-06-11,13:00,유찰,,,,,,,,
LDH0513,1,(정비) 연마지 등 17종 구매,물품,총액계약,제한경쟁,적격심사제,Y,육군종합정비창,ZD00347,육군종합정비창,ZD00347,87.995,,18804000,17436463,2025-06-11,13:00,유찰,,,,,,,,
LGI0046,1,식육류,물품,단가계약,제한경쟁,적격심사제,Y,제3군수지원여단,ZD01109,제3군수지원여단,ZD01109,82.995,18109.32,18000,39272727,2025-06-11,10:30,개찰완료,15030,82.995,2025-06-11,노아의 방주,편지은,편지은,733-02-00536,"경기도 성남시 분당구 매화로37번길9, 1층 7-1호(야탑동)"
LGI0047,1,빵류,물품,단가계약,일반경쟁,적격심사제,Y,제3군수지원여단,ZD01109,제3군수지원여단,ZD01109,82.995,618220.22,614760,1150735564,2025-06-11,10:30,개찰완료,513134,83.001,2025-06-11,주식회사 신세계푸드,강승협,조재영,215-81-47377,"서울특별시 성동구 성수일로56, 4층~7층 (성수동2가)"
LHN0021,1,25-1차 공기청정기 필터 구매,물품,총액계약,제한경쟁,적격심사제,Y,제7보병사단,ZD00394,제7보병사단,ZD00394,87.995,128724623,130051960,120593636,2025-06-11,10:30,개찰완료,113643500,88.284,2025-06-11,주식회사 부강시스템,이종하,이종하,548-88-01402,경기도 파주시 산남로119번길24-0 (산남동)
LIK0050,1,25년 식자재 민간위탁 배송용역,용역,총액계약,일반경쟁,적격심사제,Y,제2군수지원여단,ZD01107,제2군수지원여단,ZD01107,85.495,,391715500,356105000,2025-06-11,11:00,유찰,,,,,,,,
LNG0038,1,00부대 분청 신축 냉난방기(GHP실외기) 구매설치,물품,총액계약,제한경쟁,적격심사제,Y,육군 제1군단,ZD00275,육군 제1군단,ZD00275,87.995,77443159,77880000,70800000,2025-06-11,11:00,개찰완료,68146240,87.995,2025-06-11,주식회사 진솔,서석현,서석현,448-86-01471,경기도 이천시 마장면 덕이로182-0
MFH0011,1,25년 표준설계도 제정 설계용역,용역,총액계약,제한경쟁,적격심사제,Y,국방시설본부,ZD00554,국방시설본부,ZD00554,86.745,186484334,186200000,172727273,2025-06-11,10:30,개찰완료,162187000,86.97,2025-06-13,(주)디앤오종합건축사사무소,정봉원,정봉원,120-87-08194,"서울특별시 송파구 법원로9길26, D동 1104호(문정동, H-비즈니스파크)"
SCF0441,1,누출탐지제 등 344종 구매,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,84494250,85000000,78927636,2025-06-11,10:30,개찰완료,74351200,87.995,2025-06-12,다드림,김영애,김영애,164-52-00583,경상북도 포항시 남구 새천년대로439-36 (대잠동)
SCF0442,1,전지 축전식 등 3종 구매,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,6342972,6300000,5897073,2025-06-11,10:30,개찰완료,5896700,92.964,2025-06-12,나우통상,정평길,정평길,609-11-94747,경상남도 창원시 진해구 용원동로320 (용원동)
SCF0443,1,회로카드조립체 10EA 구매,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,18453030,18600000,17304000,2025-06-11,10:30,개찰완료,16237860,87.995,2025-06-12,보성기프트,정미숙,정미숙,839-37-01140,"인천광역시 남동구 만수서로105번길40-18, 1103동 1306호(만수동, 주공아파트)"
SCF0440,1,이동형 감압실(1인용) 안전도 검사 외주용역,용역,총액계약,일반경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.745,,11400000,10571809,2025-06-11,10:30,유찰,,,,,,,,
